premierelocatie_id,relatie,value
136256,naam,Haus der Berliner Festspiele
136256,adres,None
136256,stad,Berlin
136256,postcode,None
136256,land,Duitsland
140401,naam,Institut Francais de Casablanca
140401,adres,
140401,stad,Casablanca
140401,postcode,None
140401,land,Marokko
138891,naam,Glocken-Lichtspiele
138891,adres,
138891,stad,Erlangen
138891,postcode,None
138891,land,Duitsland
134721,naam,Lincoln Center
134721,adres,70 Lincoln Center Plaza
134721,stad,New York
134721,postcode,NY 10023
134721,land,Verenigde Staten van Amerika
131638,naam,Koningin Elisabethzaal
131638,adres,Koningin Astridplein 26
131638,stad,Antwerpen
131638,postcode,2018
131638,land,België
139318,naam,CC DGP - Studio
139318,adres,
139318,stad,Oostende
139318,postcode,None
139318,land,België
137431,naam,Teatr Kana
137431,adres,pl. ssw. Piotra i Pawla 4/5
137431,stad,Szczecin
137431,postcode,70-521
137431,land,Polen
136348,naam,La Rampe
136348,adres,Avenue du 8 Mai 1945
136348,stad,Echirolles
136348,postcode,38130
136348,land,Frankrijk
134026,naam,Les Tanneurs
134026,adres,Rue des Tanneurs 75 - 77
134026,stad,Bruxelles
134026,postcode,1000
134026,land,België
133774,naam,Teatro Central
133774,adres,Isla de la Cartusa s/n
133774,stad,Sevilla
133774,postcode,41092
133774,land,Spanje
140467,naam,Transparant vzw
140467,adres,Rodenbachstraat 21/1
140467,stad,Borgerhout (B)
140467,postcode,None
133536,naam,Théâtre de l'Ancre
133536,adres,Rue De Montigny 122
133536,stad,Charleroi
133536,postcode,6000
133536,land,België
133775,naam,Belluard Bollwerk
133775,adres,None
133775,stad,Fribourg
133775,postcode,CH 1701
133775,land,Zwitserland
133602,naam,Théâtre Garonne
133602,adres,1 Avenue du Château d'Eau
133602,stad,Toulouse
133602,postcode,31300
133602,land,Frankrijk
136699,naam,KVS Bol
136699,adres,Lakensestraat 146
136699,stad,Brussel
136699,postcode,1000
136699,land,België
133289,naam,Bozar - Studio
133289,adres,KONINGSSTRAAT 10
133289,stad,Brussel
133289,postcode,1000
133289,land,België
139711,naam,La Condition des Soies
139711,adres,
139711,stad,Avignon
139711,postcode,None
139711,land,Frankrijk
132213,naam,ruimte onbekend
132213,adres,None
132213,stad,Salzburg
132213,postcode,None
132213,land,Oostenrijk
132581,naam,Maison de la Culture 93
132581,adres,"1, bd Lénine"
132581,stad,Bobigny
132581,postcode,93000
132581,land,Frankrijk
139767,naam,Decordepot Molenbeek
139767,adres,
139767,stad,Brussel
139767,postcode,None
139767,land,België
140209,naam,Kade Kanaal van Willebroek
140209,adres,
140209,stad,Willebroek
140209,postcode,None
140209,land,België
131115,naam,La Raffinerie
131115,adres,Manchesterstraat 21
