subsidie_id,relatie,value
14603,subsidiërende instantie,Podiumkunstendecreet_10
14604,subsidiesysteem,Projecten theater_607
14604,organisatie,Buelens Paulina vzw_370512
14604,beginjaar,2005
14604,eindjaar,2005
14604,subsidietype,projectbeurs_4
14604,subsidiecomite,theater_10
14604,subsidiërende instantie,Podiumkunstendecreet_10
14606,subsidiesysteem,Projecten theater_607
14606,organisatie,fABULEUS_363202
14606,beginjaar,2005
14606,eindjaar,2005
14606,subsidietype,projectbeurs_4
14606,subsidiecomite,theater_10
14606,subsidiërende instantie,Podiumkunstendecreet_10
14607,subsidiesysteem,Projecten theater_607
14607,organisatie,Ontroerend Goed_370205
14607,beginjaar,2005
14607,eindjaar,2005
14607,subsidietype,projectbeurs_4
14607,subsidiecomite,theater_10
14607,subsidiërende instantie,Podiumkunstendecreet_10
14608,subsidiesysteem,Projecten theater_607
14608,organisatie,Cinderella_370647
14608,beginjaar,2005
14608,eindjaar,2005
14608,subsidietype,projectbeurs_4
14608,subsidiecomite,theater_10
14608,subsidiërende instantie,Podiumkunstendecreet_10
14609,subsidiesysteem,Projecten theater_607
14609,organisatie,Toneelgroep Nunc_370641
14609,beginjaar,2005
14609,eindjaar,2005
14609,subsidietype,projectbeurs_4
14609,subsidiecomite,theater_10
14609,subsidiërende instantie,Podiumkunstendecreet_10
14610,subsidiesysteem,Projecten theater_607
14610,organisatie,de Filmfabriek_367044
14610,beginjaar,2005
14610,eindjaar,2005
14610,subsidietype,projectbeurs_4
14610,subsidiecomite,theater_10
14610,subsidiërende instantie,Podiumkunstendecreet_10
14611,subsidiesysteem,Projecten theater_607
14611,organisatie,Barre Weldaad_363145
14611,beginjaar,2005
14611,eindjaar,2005
14611,subsidietype,projectbeurs_4
14611,subsidiecomite,theater_10
14611,subsidiërende instantie,Podiumkunstendecreet_10
14613,subsidiesysteem,Projecten theater_607
14613,organisatie,Larf!_369991
14613,beginjaar,2005
14613,eindjaar,2005
14613,subsidietype,projectbeurs_4
14613,subsidiecomite,theater_10
14613,subsidiërende instantie,Podiumkunstendecreet_10
14616,subsidiesysteem,Projecten theater_607
14616,organisatie,Bad van Marie_369497
14616,beginjaar,2005
14616,eindjaar,2005
14616,subsidietype,projectbeurs_4
14616,subsidiecomite,theater_10
14616,subsidiërende instantie,Podiumkunstendecreet_10
14618,subsidiesysteem,Projecten theater_607
14618,organisatie,Theater De Schaduw_363133
14618,beginjaar,2005
14618,eindjaar,2005
14618,subsidietype,projectbeurs_4
14618,subsidiecomite,theater_10
14618,subsidiërende instantie,Podiumkunstendecreet_10
14619,subsidiesysteem,Projecten theater_607
14619,organisatie,Anatolie Toneel Groep_370812
14619,beginjaar,2005
14619,eindjaar,2005
14619,subsidietype,projectbeurs_4
14619,subsidiecomite,theater_10
14619,subsidiërende instantie,Podiumkunstendecreet_10
14620,subsidiesysteem,Projecten theater_607
14620,organisatie,Kollektief Najief_370997
14620,beginjaar,2005
14620,eindjaar,2005
14620,subsidietype,projectbeurs_4
14620,subsidiecomite,theater_10
14620,subsidiërende instantie,Podiumkunstendecreet_10
14621,subsidiesysteem,Projecten theater_607
14621,organisatie,Avec Jan Jib Co_371252
14621,beginjaar,2005
14621,eindjaar,2005
14621,subsidietype,projectbeurs_4
14621,subsidiecomite,theater_10
14621,subsidiërende instantie,Podiumkunstendecreet_10
14622,subsidiesysteem,Projecten theater_607
14622,organisatie,In vitro_371256
14622,beginjaar,2005
14622,eindjaar,2005
14622,subsidietype,projectbeurs_4
14622,subsidiecomite,theater_10
14622,subsidiërende instantie,Podiumkunstendecreet_10
14623,subsidiesysteem,Projecten theater_607
14623,organisatie,De Zeepcompagnie_369249
14623,beginjaar,2005
14623,eindjaar,2005
14623,subsidietype,projectbeurs_4
14623,subsidiecomite,theater_10
14623,subsidiërende instantie,Podiumkunstendecreet_10
14624,subsidiesysteem,Projecten theater_607
14624,organisatie,productiehuis padarijs_371286
14624,beginjaar,2005
14624,eindjaar,2005
14624,subsidietype,projectbeurs_4
14624,subsidiecomite,theater_10
14624,subsidiërende instantie,Podiumkunstendecreet_10
15325,subsidiesysteem,Projecten festivals_625
15325,organisatie,ZuiderZinnen_371999
15325,beginjaar,2007
15325,eindjaar,2007
15325,subsidietype,projectbeurs_4
15325,subsidiërende instantie,Kunstendecreet_1
14551,subsidiesysteem,Organisaties meerjarig voor theater_606
14551,organisatie,Theater Taptoe_360746
14551,beginjaar,2006
14551,eindjaar,2007
14551,subsidietype,structureel diverse duur_14
14551,subsidiecomite,theater_10
14551,subsidiërende instantie,Kunstendecreet_1
14553,subsidiesysteem,Organisaties meerjarig voor theater_606
14553,organisatie,Raamtheater_370303
14553,beginjaar,2006
14553,eindjaar,2007
