,Lijst van personen
667,Caroline Cybula
668,Marcelle Sampaio
669,Josephine Van Gasteren
670,Jean-Philippe Budi
671,Jacquelyn Wagner
672,Kayliegh Spriet
673,Olivier Djama Olwa
674,Elie Fechli
675,Anouch Pasques
676,Christoph Hefti
677,Nelly De Bruyn
678,Julian Hartman
679,Mark Kraan
680,Wesley Poublon
681,Simon Banham
682,Alexandru Badea
683,Dominique Temmerman
684,Grégoire Paultre
685,Koen Haagdorens
686,Livia Balazova
687,Jean-Pierre Voos
688,Willy Reyniers
689,Ingmar Bergman
690,Cheryl Barker
691,Paul Klinck
692,Aboudar Abbas
693,George F. Walker
694,Sung-Im Her
695,Florian Mertens
696,Simon Haen
697,Tony Blomdahl
698,Annelies Buyssens
699,Fedor Teunisse
700,Isabelle Dekeyser
701,Michèle Crider
702,Sander Grem
703,Sven Roelandts
704,Mariusz Treliński
705, Bellens
706,Ann Van de Vyvere
707,Dhia Tri Iswani
708,Mike Odeurs
709,Satu Peltoniemi
710,Linze Steeno
711,Lies Cuyvers
712,Michaël Pas
713,Eva Dubar
714,Britt Wittoek
715,Peter Plesner
716,Deborah Mcclung
717,Andreas Lagrou
718,Frederik Croene
719,Ilse Wanten
720,Enea Scala
721,Marina Yee
722,Jeroen Van Delft
723,Atta Khattab
724,Joyce Tuut
725,Bruno Caproni
726,Klaas Schramm
727,Oliver Mallison
728,Katrien Vandergooten
729,Nathalie Droesbeke
730,Liesbet Verstraeten
731,Heike Langsdorf
732,Jean De Befve
733,Margit Didelez
734,Kristo Sagor
735,Iñaki Azpillaga
736,Simona Semenic
737,Gunnar Tippmann
738,Hendrik Conscience
739,John Logan
740,Sarah Chase
741,Gijs Orij
742,Alfred Sternberg
743,Bart Meuleman
744,Heather Hunter
745,Lynn Nijs
746,Ria Van Damme
747,Ward de Bever
748,Raf Enckels
749,Kenan Dinkelman
750,Anastasia Lobanova
751,Marlies Jaques
752,Rosie Sommers
753,Jamie Phillips
754,Merlijn Wuestenbergs
755,Joris De Beul
756,Paule Van Parys
757,Johan Vanderstraeten
758,Donald L. Coburn
759,Marc Verstreken
760,Ben Fury
761,Gabriëlle Sterckx
762,Juliane Banse
763,Pieter Van Buyten
764,Joëlle Tuerlinckx
765,Peter Leroy
766,Gioia Seghers
767,Rudy D'hont
768,Lando Bartolini
769,Marisa Van Eyle
770,Joke Smedts
771,Aarich Jespers
772,Rayan Awad
773,Veerle Symoens
774,Marcel Derwael
775,Lionel Lesire
776,Loïc Decannière
777,Sarah Eisa
778,Nicole Vanhoucke
779,Kurt Koegel
780,Joe Levasseur
781,Guy Hemeleers
782,Hai Ottenheim
783,Wolfgang Kintscher
784,Alies Christina Sluiter
785,Leila Krim
786,Mariska van Kolck
787,Michel Van Achter
788,Nena Stojnic
789,Loes Minnebo
790,Rebecca De Backer
791,Delphine Dutoit
792,Janten Versteele
793,Johan Albert
794,Jonas Van der Heyden
795,Jeff Arnal
796,Enrique Morente
797,Melvyn Bragg
798,Starlette Mathata
799,Georg Weinand
800,Gard Bemelmans
801,Rudi Van Vlaenderen
802,Sam Schurg
803,Paula Bartelen
804,Jean Lafontaine
805,Helena Maes
806,Miguel Borges
807,Michal Almogi
808,Laura Aernoudt
809,Pieter Genard
810,Fieke Brokkelkamp
811,Olmo Claessens
812,Roel Hendrickx
813,David Van Damme
814,Heide Kastler
815,Josh Rutter
816,David Michiels
817,Amanda Echalaz
818,Jaime Llopis
819,Gabor Kapin
820,Elisa Evylin
821,Ayla Grard
822,Marjan De Schutter
823,Fleur Brusselmans
824,Robbe De Wever
825,Nathalie Aerts
826,Stan Cornelis
