,Lijst van organisaties,Count van producties
732,Zanzi vzw,2
733,Capilla Flamenca,2
734,ccBe,4
735,Arca,92
736,Zoe,4
737,Mechels Miniatuur Teater,90
738,Nunc et / est nunc,1
739,Goedertier,5
740,Ponyhill,6
741,Ibycus,4
742,Handelsbeurs,1
743,Not Standing vzw,3
744,Sermoen Theatermakers,8
745,Time Circus vzw - Guerillartcollectief,1
746,Theatercollectief Raf,1
747,Stof,2
748,Compagnie Monica,2
749,les yeux bleus,1
750,Compagnie Thor,14
751,Kowboy Kaos,3
752,Manyone,6
753,W.A.C.K.O,5
754,Blauwe Maandag Compagnie,22
755,Cie Mala Hierba,1
756,Art Basics for Children,1
757,Compagnie Michèle Noiret,4
758,Company Las Barbudas,2
759,Netwerk / centrum voor hedendaagse kunst,23
760,Ultima Vez,98
761,Hof van Eede,13
762,WIThWIT,2
763,Compagnie Le Corridor,10
764,Nieuwe Realisaties,4
765,Lucinda Ra,5
766,Vlaams-Nederlands huis deBuren,3
767,Sjanteboetiek Produkties,22
768,LaDea,11
769,timecircus vzw,1
770,RITCS,2
771,Teater Rabarber,2
772,Vaart,1
773,Dirc Kauba Dance Company,1
774,vzw Wilde Vlechten,2
775,Sarma,1
776,Danscentrum Jette,5
777,Bonk vzw,2
778,Ontroerend Goed,84
779,Buda Kunstencentrum,25
780,Michèle Anne De Mey,3
781,Max Last,4
782,Internationaal Theaterschool Festival Brussel vzw,2
783,Mich Walschaerts,1
784,WERKHUIS/producties,13
785,Volksopera,2
786,De Bende van de Prins,5
787,tg STAN,213
788,De Nietjesfabriek,7
789,Hiatus,5
790,Mars,30
791,Nevski Prospekt,12
792,De ZeeFabriek,1
793,Europees Centrum Opera en Vocale Kunst,2
794,vzw Pamele,1
795,De Maand Mei,3
796,Alibi collectief,36
797,compagnie lodewijk/louis,17
798,An de Donder & Paul Verrept,1
799,MOPA,1
800,Stuc,10
801,Müdts,1
802,Bronstig Veulen,16
803,Brussel 2000,3
