,Lijst van personen,Gender,Stad,Land,Postcode,Count van producties
405,Maarten Soete,110.0,Sint-Jans-Molenbeek,België,,1
406,Lies Vanborm,109.0,,België,,14
407,Rilke Eyckermans,109.0,,België,,13
408,Charlotte Vandermeersch,109.0,Kruishoutem,België,,51
409,Koen Kaptijn,110.0,,Nederland,,2
410,Marc Bryssinck,110.0,,België,,34
411,Jan Verbist,110.0,Lier,België,,308
412,Wim De Ceuster,110.0,,België,,1
413,Louise D'hond,109.0,,België,,1
414,Filip Naudts,110.0,,België,,2
415,Gustavo Miranda,110.0,Brussel,België,,22
416,Jaak Dreesen,110.0,Leefdaal,België,,2
417,Marieke Dermul,109.0,,België,,7
418,Nathalie Lepage,109.0,,België,,15
419,Ineke Schrijvers,109.0,Antwerpen,België,,10
420,Veerle Van Rossom,109.0,,België,,1
421,Roy Gosset,110.0,,België,,1
422,Paul Peyskens,110.0,Brussel,België,,47
423,Barbara Vandendriessche,109.0,Brussel,België,,101
424,Nathalie Kuik,109.0,,België,,3
425,Philine Janssens,109.0,,België,,8
426,Ludo Schoukens,110.0,Gooik,België,,3
427,Flore Van Assche,110.0,,België,,1
428,Mieke Proost,109.0,Wemmel,België,,3
429,Wim Cuyvers,110.0,Gent,België,,2
430,Carlos Theus,110.0,,België,,6
431,Marijke Umans,109.0,,België,,7
432,Bert Jans,110.0,,België,,5
433,Marc Minkowski,110.0,,Frankrijk,,10
434,Gunter Nagels,110.0,,België,,4
435,Isabelle Vandenberghe,109.0,Antwerpen,België,,16
436,Karel Moons,110.0,Heverlee,België,,2
437,Freddy Knokaert,110.0,,België,,1
438,Dries Gijsels,110.0,,België,,4
439,Hannes Verhoustraete,110.0,,België,,4
440,Anne Heyman,109.0,,België,,2
441,Ilke Festjens,109.0,,België,,26
442,Michele Tesoro,109.0,Antwerpen,België,,8
443,Ines  Rooseu,109.0,,België,,1
444,Bart Verberckmoes,110.0,,België,,15
445,Biljana Srbljanović   ,109.0,,Servië,,3
446,Klara Hawer,109.0,,België,,1
447,Benjamin Muller,110.0,,België,,1
448,Yess Voeten,109.0,,België,,1
449,Tom Timmerman,110.0,Gent,België,,3
450,Rudy Tambuyser,110.0,,België,,2
451,Pieter Willems,110.0,Denderwindeke,België,,7
452,Joke Mullie,109.0,Haaltert,België,,2
453,Alessandro Libertini,110.0,SESTO FIORENTINO (FIRENZE),Italië,,15
454,Bert Verbeke,110.0,,België,,4
455,Fenne Toorman,109.0,,België,,1
456,Stany Crets,110.0,Antwerpen,België,,95
457,Hilde Van De Vloet,109.0,SCHILDE,België,,68
458,Geert Van Impe,110.0,Aalst,België,,2
459,Helga Koren,109.0,,België,,2
460,Joris Van den Brande,110.0,Bottelaere,België,,97
461,Hooman Sharifi,110.0,,Noorwegen,,34
462,Ivo Hadermann,110.0,,België,,1
463,Jean Blaute,110.0,Zegelsem,België,,25
464,Ria Verschaeren,109.0,Wilrijk,België,,56
465,Martine De Mey,109.0,,België,,7
466,Claude Régy,110.0,,Frankrijk,,11
467,Griet Snoeks,109.0,Aartselaar,België,,17
468,Piet Van Putten,110.0,Bornem,België,,44
469,Heiner Goebbels,110.0,FRANKFURT AM MAIN,Duitsland,,10
470,Marga Sanders,109.0,,België,,2
471,Dirk De Hooghe,110.0,Antwerpen,België,,49
472,Karen Migneaux,109.0,,België,,11
473,Frederik Boits,110.0,,België,,6
474,Ans Van den Eede,109.0,Mechelen,België,,49
475,Peter Hendrikx,110.0,,België,,6
476,Ise Donckers,109.0,,België,,5
477,Valentine Kempynck,109.0,Antwerpen,België,,78
478,Rose Werckx,109.0,Brussel,België,,21
479,Iris Steenwegen,109.0,Sint-Niklaas,België,,2
480,Pol Depoorter,110.0,,België,,3
481,Nico Heremans,110.0,,België,,3
482,Marc Hoflack,110.0,Gent,België,,1
483,Philippe Sireuil,110.0,Archennes,België,,27
484,Kirsten van den Hoorn,109.0,,België,,4
485,Wouter Van Looy,110.0,Kessel-Lo (Leuven),België,,88
486,Fernando Martin,110.0,Elsene,België,,7
487,Fabrice Delecluse,110.0,Gent,België,,52
488,Joke Depreitere,109.0,,België,,7
489,Nicole Vanhoucke,109.0,Gent,België,,17
490,Naomi Kerkhove,109.0,,België,,21
491,Hans De Pooter,110.0,Antwerpen,België,,8
492,Peter Van Tichelen,110.0,,België,,2
493,Rinat Imaev,109.0,Antwerpen,België,,22
494,Tine Melens,109.0,,België,,7
495,Warre Ankersmit,110.0,,België,,1
496,Tim Gistelynck,110.0,,België,,12
497,Iona Kewney,109.0,,Groot-Brittannië,,6
498,Mustafa Kaplan,110.0,,Turkije,,7
499,Ilse Galle,109.0,,België,,1
500,Peter Lauwers,110.0,,België,,16
501,Alain De Neck,110.0,Bruxelles,België,,2
502,Antje De Boeck,109.0,Antwerpen,België,,48
503,Tom Janssens,110.0,Herentals,België,,1
504,Daan Hugaert,110.0,Gent,België,,111
505,Kristel Marcoen,109.0,Antwerpen,België,,2
506,Els Mondelaers,109.0,Antwerpen,België,,18
507,Veerle Teirbrood,109.0,,België,,1
508,Gert Bogaerts,110.0,Schaarbeek,België,,5
509,Kris Kaerts,110.0,Sint-Gillis,België,,19
510,Kate McIntosh,109.0,Brussel,België,,70
511,Loes Buenen,109.0,,België,,5
512,Nathalie Roymans,109.0,,België,,23
513,Anne-Mieke Ruyten,109.0,Amsterdam,Nederland,,21
514,Rosette Orolé,109.0,Westerlo,België,,3
515,Frauke Mariën,109.0,Antwerpen,België,,39
516,Michel Vinaver,110.0,ST.DENIS,Frankrijk,,1
517,Eric Kempeneers,110.0,BORGERHOUT,België,,38
518,Bud Blumenthal,110.0,Elsene,België,,5
519,Ruanne Abou-Rahme,109.0,,Bezette Palestijnse gebieden,,2
520,Marc Janssen,110.0,Hoboken,België,,103
521,Kathryn Bennetts,109.0,,Australië,,1
522,Jochen Balbaert,110.0,Antwerpen,België,,23
523,Frank Pay,110.0,Brussel,België,,22
524,Carlos Pez Gonzalès,110.0,,België,,22
525,Marjan Baeten,109.0,,België,,2
526,Hans Helewaut,110.0,Anderlecht,België,,2
527,Ine Cafmeyer,109.0,Antwerpen,België,,3
528,Eric Feys,110.0,Gent,België,,12
529,Ed Vanderweyden,110.0,Blanden,België,,11
530,Bart Embrechts,110.0,Ekeren,België,,28
531,Lars Piselé,110.0,,België,,9
532,Karlon Fonteyn,110.0,Heverlee,België,,43
533,Vic Mees,110.0,,België,,8
534,Lies Van Loock,109.0,,België,,4
535,Has Drijver,110.0,Eindhoven,Nederland,,1
536,Griet Op De Beeck,109.0,Antwerpen,België,,35
537,Donald Berlanger,110.0,,België,,21
538,Moussa Fathi,110.0,,België,,1
539,Nadine Fuchs,109.0,,Frankrijk,,4
540,Adil Al Arbi,110.0,,België,,1
541,Jan Huib Nas,110.0,Sint-Jans-Molenbeek,België,,2
542,Lu Lambrechts,,MARKE,België,,7
543,Nora Tilley,109.0,Bonheiden,België,,45
544,John Millington Synge,110.0,,Ierland,,1
545,Michaël Greweldinger,110.0,,België,,3
546,Merel Ackx,109.0,Brussel,België,,2
547,Lisa Deleu,109.0,,België,,3
548,Lucinda Childs,109.0,New York,Verenigde Staten van Amerika,,4
549,Frank Dierens,110.0,Michelbeke,België,,173
550,Lisa Da Boit,109.0,,België,,13
551,Amar Al Bojrad,110.0,,Irak,,9
552,Gunter Reniers,110.0,Brussel,België,,6
553,Julie Borgmans,109.0,,België,,5
554,Jotka Bauwens,109.0,,België,,12
555,Indra De Bruyn,109.0,,België,,3
556,Christopher Lemmings,110.0,,Groot-Brittannië,,4
557,Marie Lauwers,109.0,,België,,6
558,Ward Bal,110.0,Brussel,België,,10
559,Claude Semal,110.0,,België,,2
560,Erik Loots,110.0,,België,,1
561,Ferry de Graaf,110.0,,Nederland,,1
