,Ruimte,Straat en nummer,Postcode,Stad
415,STAM - Stadsmuseum Gent,Godshuizenlaan 2,9000,Gent
416,Fedasil Poelkapelle,Stadenstraat 68,8920,Poelkapelle
417,De Abdij,Zonnebloemstraat 5,9500,Geraardsbergen
418,Capitole,Graaf Van Vlaanderenplein 5,9000,Gent
419,Sint-Jozefskliniek,,,Oostende
420,Prairietuin,Lange Gasthuisstraat 29/31,,Antwerpen
421,Districtshuis van Deurne,,,Deurne
422,Basisschool Vermeylen,,,Oostende
423,ruimte onbekend,,1000,Brussel
424,Centre Culturel d'Ottignies,41 AVENUE DES COMBATTANTS,1340,Ottignies
425,Rue Ernest Cambier,,,Ath
426,Spaanskasteelplein,,,Gent
427,MSO,Slipwaykaai 4,,Oostende
428,Théâtre de la Balsamine,Avenue Felix Marchal 1,1030,Schaerbeek
429,Broedersschool,,,Stekene
430,Keperenberg,,,Itterbeek
431,Eikelstraat 31,,,Berchem
432,Op Locatie,,,Borgloon
433,Théâtre de Liège,,4000,Liège
434,CC Luchtbal,Columbiastraat 110,2030,Antwerpen
435,CC De Brouckere,Aartrijkestraat 6,8820,Torhout
436,KOPERGIETERY,Blekerijstraat 50,9000,Gent
437,Sint-Baafsplein,,9000,Gent
438,Opera Gent,,,Gent
439,Minardschouwburg,Korianderstraat 13,9000,Gent
440,La Ferme du Biéreau,,,Louvain-la-Neuve
441,Stadsschouwburg Leuven,Bondgenotenlaan 21,3000,Leuven
442,CC de Bogaard,Capucienessenstraat 8,3800,Sint-Truiden
443,LDC Stede Akkers,,,Hoogstraten
444,CC Houthalen-Oost,Kastanjestraat 7,3530,Houthalen-Helchteren
445,Victorialaan,Victorialaan,8400,Oostende
446,Coup de Ville,,,Sint-Niklaas
447,oude drukkerij van Concentra,,,Hasselt
448,Locatie onbekend,,9790,Wortegem-Petegem
449,Wintervuur,,,Ekeren
450,Beatrijslaan Linkeroever,,,Antwerpen
451,GC De Kroon,J.B. Vandendrieschstraat 19,1082,Sint-Agatha-Berchem
452,Neerhoevelaan,,,Mortsel
453,CC De Leest,,,Izegem
454,RITS/Bottelarij,Delaunoystraat 58,1080,Molenbeek
455,Ensorinstituut,Gen. jungbluthlaan 4,8400,Oostende
456,Kortrijkse Schouwburg,Schouwburgplein 14,8500,Kortrijk
457,Hangaar 1,,,Oostende
458,Compagnie de la Casquette,Wijnheuvelstraat 58,1210,Sint-Joost-ten-Node
459,op locatie,,2640,Mortsel
460,Op locatie,,,Borgerhout
461,Het Gevolg,Otterstraat 31-33,2300,Turnhout
462,Fakkelteater,Hoogstraat 12,2000,Antwerpen
463,Krugerstraat,Krugerstraat 1,,Berchem
464,GC De Route,,,Sint-Gillis-Waas
465,HETPALEIS,Meistraat  2,2000,Antwerpen
466,VC De Kruierie,,,Balen
467,Op locatie,,,Beervelde
468,Slachthuis,Slachthuislaan,,Antwerpen-Noord
469,Bains::Connective,Bondgenotenstraat 54,1190,Vorst
470,NTG2-Minnemeers,Minnemeers 8,9000,Gent
471,Walpurgis,Deurneleitje 6,2640,Mortsel
472,Martelaarsplein 10,,,Brussel
473,Districtshuis,Moorkensplein,2140,Borgerhout
474,Kaaitheater,Akenkaai 2,1000,Brussel
475,Vooruit -  Dansstudio,Sint-Pietersnieuwstraat 23,9000,Gent
476,Theater Malpertuis,Stationstraat 25,8700,Tielt
477,CC Nova,Molenstraat 2 B,9230,Wetteren
478,CC De Poort,Markt 27,9230,Wetteren
479,CC Hasselt,Kunstlaan 5,3500,Hasselt
480,CC Dommelhof,Toekomstlaan 5,3910,Neerpelt
481,Dépot Tristero,Lavalléestraat 41,1080,Molenbeek
482,NTGent: Arca,Sint-Widostraat 4,9000,Gent
483,Klein Begijnhof,Lange Violettestraat 235,9000,Gent
484,Brouwerij De Koninck,Boomgaardstraat 12,2018,Antwerpen
485,Kievitsnest,Provinciestraat 112,2018,Antwerpen
486,CC Maasmechelen,Koninginnelaan 42,3630,Maasmechelen
487,de Roma,Turnhoutsebaan 286,2140,Borgerhout
488,CC-Casino Blankenberge,Zeedijk 150,8370,Blankenberge
489,deSingel - Rode Zaal,Jan Van Rijswijcklaan 155,2018,Antwerpen
490,KVS Box,Arduinkaai 7,1000,Brussel
491,Kapel Minderbroedersklooster,,,Genk
492,De Feniks,Sergeyselsstraat 20,2140,Borgerhout
493,DE Studio,Maarschalk Gérardstraat 4,2000,Antwerpen
494,CC Beringen,Tessenderlosesteenweg 18,3583,Beringen
495,CC De Steiger,Col. Silvertopstraat 13,2850,Boom
496,Atelier Katleen Vinck,Duinstraat 124,2060,Antwerpen
497,Opera Antwerpen,,,Antwerpen
498,Art cinema OFFoff,,9000,Gent
499,Redersplein,,,Brussel
500,CC De Meent - grote zaal,Gemeenveldstraat 34,1652,Alsemberg
501,Christen Volksbond,Zonnestraat 27,9600,Ronse
502,Biekorf,Kuipersstraat 3,8000,Brugge
503,CC De Spil,Spilleboutdreef 1,8800,Roeselare
504,Aerogofabriek,Kloosterstraat 107,,Ekeren
505,Op locatie,,,Schaarbeek
506,vzw Jong (hoek Nieuwland en Desire Fievestraat),,,Gent
507,CC Ekeren,,,Ekeren
508,Molenpoort,,,Hasselt
509,GC De Kriekelaar,Gallatistraat 86,1030,Schaarbeek
510,Begraafplaats Steytelinc,,,Wilrijk
511,CC 't Kerkske,,,Kapellen
512,Le Palace,,,La Louvière
513,GC Den Ichter,Kapelstraat 16,3660,Opglabbeek
514,De Kriekelaar, Gallaitstraat 86,1030,Schaarbeek
515,CC 't Blikveld,Waversesteenweg 11,2820,Bonheiden
516,Cultuurcentrum Merksem,Bredabaan 561,2170,Merksem
517,Vooruit - Theaterzaal,Sint-Pietersnieuwstraat 23,9000,Gent
518,Fort Napoleon,Fortstraat,8400,Oostende
519,Tuin van Kina,Berouw 55,9000,Gent
520,Hangar aan hoek van Praetstraat enA.Greinerstraat,,,Hoboken
521,GC De Kluize,,,Oosterzele
522,CC Ter Dilft,Sint-Amandsesteenweg 41-43,2880,Bornem
523,Théâtre de Galafronie,Rue des Coteaux,1210,Bruxelles
524,Vlaamse Opera Antwerpen,Van Ertbornstraat 6,2018,Antwerpen
525,Hogeschool Campus Bijloke,Kluyskensstraat 2,9000,Gent
526,FAMEUS,Zirkstraat 36,2000,Antwerpen
527,Campo,,,Gent
528,Centrale Bibliotheek Leuven,Ladeuzeplein,3000,Leuven
529,OC Godsheide,,,Hasselt
530,Stadshuis,,,Leuven
531,CC Het Bolwerk,Olmstraat,1800,Vilvoorde
532,Koninklijk Conservatorium,Desguinlei 25,2018,Antwerpen
533,Gentbruggeaard,,,Gent
534,Cultuurcentrum Mechelen,Minderbroedersgang 5,2800,Mechelen
535,Oud gerechtsgebouw Antwerpen,,,Antwerpen
536,Toerisme Hasselt,,,Hasselt
537,CC de Plomblom,Graanmarkt 12,9400,Ninove
538,Alibi Kermistent - Havenlaan 49,,,Molenbeek
539,Place Sainte-Catherine,,,Brussel
540,CC 't Hofland,,8850,Ardooie
541,Repetitieruimte De Tijd,Sint-Paulusstraat 23,2000,Antwerpen
542,Kopergietery Rabot,Vlotstraat 22,9000,Gent
